Time	Me-P1	Me-P2	Me-P3	Me-P4	Me-P5	Me-P6	Me-P7	Me-P8	Me-P9	Me-P10	Me-P11	Me-P12	Me-P13	Me-P14	Me-P15
15584.4037845691	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15616.8037955196	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15649.2037947273	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15681.6038217779	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15714.0038194001	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15746.4038234679	0	0	0	11	0	5	0	1	0	0	0	0	0	0	0
15778.8038202651	0	0	0	12	0	5	0	1	0	0	0	0	0	0	0
15811.2038212628	0	0	0	12	0	5	0	1	0	0	0	0	0	0	0
15843.6038312492	0	0	0	12	0	5	0	1	0	0	0	0	0	0	0
15876.0038273426	0	0	0	13	0	5	0	1	0	0	0	0	0	0	0
15908.4038503487	0	0	0	13	0	5	0	1	0	0	0	0	0	0	0
15940.8038502241	0	0	0	13	0	5	0	1	0	0	0	0	0	0	0
15973.2038559135	0	0	0	13	0	5	0	1	0	0	0	0	0	0	0
16005.6038566655	0	0	0	13	0	5	0	1	0	0	0	0	0	0	0
16038.0038602694	0	0	0	13	0	5	0	2	0	0	0	0	0	0	0
16070.4038612647	0	0	0	13	0	5	0	2	0	0	0	0	0	0	0
16102.8038706146	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16135.2038762041	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16167.6038853362	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16200.0039078705	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16232.403896388	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16264.8039084698	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16297.2039065874	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16329.6039244659	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16362.0039172359	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16394.4039203272	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16426.8039303352	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16459.2039336086	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16491.6039357505	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16524.0039459785	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16556.4039471898	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16588.8039428666	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16621.2039502294	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16653.6039502739	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16686.0039533627	0	0	0	12	0	5	0	2	0	0	0	0	0	0	0
16718.4039611087	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
16750.80397025	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
16783.2039712066	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
16815.6039876251	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
16848.0039777035	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
16880.4039854708	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
16912.8040051633	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
16945.2040098556	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
16977.6040091511	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17010.0040111666	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17042.4040074381	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17074.8040110742	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17107.2040246359	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17139.6040179539	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17172.0040242774	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17204.4040304744	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17236.8040435531	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17269.2040443523	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17301.6040574694	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17334.0040572022	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17366.4040690929	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17398.8040600832	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17431.2040715296	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17463.6040745519	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17496.0040747941	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17528.4040856824	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17560.8040926675	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17593.2040853161	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17625.6040957393	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17658.0041010114	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17690.4041061047	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17722.8041033082	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17755.2041071512	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17787.6041116528	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17820.0041076571	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17852.4041270016	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17884.804131433	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17917.2041329571	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17949.6041336338	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
17982.0041418393	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18014.4041450488	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18046.8041540433	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18079.2041527561	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18111.6041471344	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18144.0041615835	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18176.4041625828	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18208.8041646793	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18241.2041560566	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18273.6041618244	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18306.0041725359	0	0	0	11	0	5	0	2	0	0	0	0	0	0	0
18338.4041756302	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18370.8041611682	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18403.2041708273	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18435.6041844814	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18468.0041852892	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18500.4041967764	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18532.8041981019	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18565.2041873933	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18597.604212949	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18630.0042025559	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18662.4042194262	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18694.8042104817	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
18727.2042245465	0	0	0	11	0	6	0	2	0	0	0	0	0	0	0
