Time	Me-P1	Me-P2	Me-P0
103680	12539887.4670697	1347279.11957666	1464.90459294078
104371.2	12477458.6941513	1339547.75937678	1464.46150028458
105062.4	12415710.4220359	1331996.91752266	1464.04800112236
105753.6	12354635.1909349	1324622.36811577	1463.66211616122
106444.8	12294225.6439217	1317419.98984494	1463.30200179473
107136	12234474.5511816	1310385.76965563	1462.96593669898
107827.2	12175374.7489379	1303515.7847589	1462.65231745261
108518.4	12116919.0997112	1296806.19109646	1462.35963930244
109209.6	12059100.6147553	1290253.25194017	1462.08650955894
109900.8	12001912.362884	1283853.31304301	1461.83162154152
110592	11945347.422472	1277602.78973253	1461.59375452838
111283.2	11889399.0424166	1271498.20372055	1461.37177377281
111974.4	11834060.4901322	1265536.14483815	1461.16461777882
112665.6	11779325.1035479	1259713.28198935	1460.97129589029
113356.8	11725186.3281687	1254026.36984705	1460.79088459743
114048	11671637.6457176	1248472.23085818	1460.62252212269
114739.2	11618672.6467499	1243047.77007582	1460.46540382097
115430.4	11566284.9402609	1237749.95348684	1460.31877844683
116121.6	11514468.2603021	1232575.8300015	1460.18194449014
116812.8	11463216.3896656	1227522.51308598	1460.05425047763
117504	11412523.1463075	1222587.17674586	1459.93508519925
118195.2	11362382.4404352	1217767.06629285	1459.82387484928
118886.4	11312788.2515184	1213059.49194637	1459.72009294713
119577.6	11263734.6428161	1208461.83035624	1459.62324267003
120268.8	11215215.6972056	1203971.51032814	1459.53286012735
120960	11167225.5945196	1199586.02724072	1459.44851266907
121651.2	11119758.5673038	1195302.93281931	1459.36979946368
122342.4	11072808.9290526	1191119.83942438	1459.2963426528
123033.6	11026371.0270832	1187034.40974745	1459.22779141393
123724.8	10980439.2921015	1183044.36519708	1459.16381824519
124416	10935008.21707	1179147.48060629	1459.10411775441
125107.2	10890072.3223773	1175341.57677595	1459.04840377591
125798.4	10845626.2242908	1171624.53201795	1458.99641228592
